#TYPE System.Management.Automation.PSCustomObject
"Hostname","OS Version","AD Status"
"TAG1860.STO.COM",,"Could not find object."
"TAG1862.STO.COM",,"Could not find object."
"TAG1858A.STO.COM",,"Could not find object."
"TAG1854.STO.COM",,"Could not find object."
"L-DAL-CSHACKELFORD1.STO.COM",,"Could not find object."
"L-DAL-RJENN3.STO.COM",,"False"
"L-SAN-CSCHAFER2.STO.COM",,"False"
"TAG1850.STO.COM",,"Could not find object."
"TAG1852.STO.COM",,"Could not find object."
"L-DAL-JCANTU1.STO.COM",,"False"
"TAG1845.STO.COM",,"Could not find object."
"TAG1844.STO.COM",,"Could not find object."
"TAG1837.STO.COM",,"Could not find object."
"TAG1838.STO.COM",,"Could not find object."
"L-DAL-MWALTERS3.STO.COM",,"False"
"L-DAL-MMEUWLY1.STO.COM",,"False"
"TAG1835.STO.COM",,"Could not find object."
"L-DAL-NCLEMENTS.STO.COM",,"False"
"TAG1879A.STO.COM",,"Could not find object."
"L-DAL-EHAGE2.STO.COM",,"False"
"L-LFD-JBEND1829.STO.COM",,"Could not find object."
"TAG1824.STO.COM",,"Could not find object."
"TAG1828.STO.COM",,"Could not find object."
"L-DAL-APACHECO1.STO.COM",,"Could not find object."
"L-DAL-DRENAUD2.STO.COM",,"False"
"L-DAL-MCKINNEY2.STO.COM",,"False"
"L-DAL-MLU2.STO.COM",,"Could not find object."
"TAG1826.STO.COM",,"Could not find object."
"L-DAL-JRMARL.STO.COM",,"Could not find object."
"L-DAL-KCHERRY2.STO.COM",,"False"
"TAG1812.STO.COM",,"Could not find object."
"TAG1807.STO.COM",,"Could not find object."
"L-DAL-BDRAIN2.STO.COM",,"Could not find object."
"TAG1808.STO.COM",,"Could not find object."
"L-DAL-CSUND2.STO.COM",,"False"
"L-DAL-JCRIBBIN2.STO.COM",,"False"
"TAG1803.STO.COM",,"Could not find object."
"TAG1802.STO.COM",,"Could not find object."
"TAG1799.STO.COM",,"Could not find object."
"TAG1787.STO.COM",,"Could not find object."
"L-HOU-AGAFFORD1.STO.COM",,"False"
"TAG1745.STO.COM",,"Could not find object."
"TAG1724.STO.COM",,"Could not find object."
"TAG1783.STO.COM",,"Could not find object."
"D-DAL-TOOLSET.STO.COM",,"Could not find object."
"TAG1722.STO.COM",,"Could not find object."
"L-SAN-KIVY4.STO.COM",,"False"
"L-DAL-JCARIAGA2.STO.COM",,"False"
"TAG1756.STO.COM",,"Could not find object."
"MDT02.STO.COM",,"False"
"TAG1774.STO.COM",,"Could not find object."
"TAG1755.STO.COM",,"Could not find object."
"TAG1638.STO.COM",,"Could not find object."
"TAG1678.STO.COM",,"Could not find object."
"L-SAN-DDLGARZA.STO.COM",,"False"
"TAG1782.STO.COM",,"Could not find object."
"TAG1754.STO.COM",,"Could not find object."
"TAG1603.STO.COM",,"Could not find object."
"ONSCRREMOTE.STO.COM",,"False"
"TAG1611.STO.COM",,"Could not find object."
"OCONDAL98FBPD1.STO.COM",,"False"
"OCONHOU86FBPD1.STO.COM",,"False"
"SMCDERMOTTSLATE.STO.COM",,"False"
"OCONDAL7L427H1.STO.COM",,"False"
"OCONDAL52RZMG1.STO.COM",,"False"
"OCONDAL62RZMG1.STO.COM",,"False"
"OCONDAL55R9B41.STO.COM",,"False"
"OCONDALSNIFF.STO.COM",,"False"
"OCONDALPRESENT.STO.COM",,"False"
